Block ID | Timestep | Precision@500
---------|---------|--------------
block 18, timestep 22, precision_k: 0.1840
block 18, timestep 23, precision_k: 0.1740
block 18, timestep 24, precision_k: 0.1740
block 18, timestep 25, precision_k: 0.1820
block 18, timestep 26, precision_k: 0.1920
block 18, timestep 27, precision_k: 0.1900
block 18, timestep 28, precision_k: 0.1680
block 18, timestep 29, precision_k: 0.1520
block 18, timestep 3, precision_k: 0.8840
block 18, timestep 30, precision_k: 0.1080
block 18, timestep 4, precision_k: 0.7920
block 18, timestep 5, precision_k: 0.6460
block 18, timestep 6, precision_k: 0.5240
block 18, timestep 7, precision_k: 0.4720
block 18, timestep 8, precision_k: 0.4540
block 18, timestep 9, precision_k: 0.4320
block 19, timestep 1, precision_k: 0.8900
block 19, timestep 10, precision_k: 0.3320
block 19, timestep 11, precision_k: 0.3100
block 19, timestep 12, precision_k: 0.2940
block 19, timestep 13, precision_k: 0.2820
block 19, timestep 14, precision_k: 0.2780
block 19, timestep 15, precision_k: 0.2680
block 19, timestep 16, precision_k: 0.2560
block 19, timestep 17, precision_k: 0.2440
block 19, timestep 18, precision_k: 0.2240
block 19, timestep 19, precision_k: 0.2160
block 19, timestep 2, precision_k: 0.8880
block 19, timestep 20, precision_k: 0.1960
block 19, timestep 21, precision_k: 0.1920
block 19, timestep 22, precision_k: 0.1900
block 19, timestep 23, precision_k: 0.1880
block 19, timestep 24, precision_k: 0.1840
block 19, timestep 25, precision_k: 0.1820
block 19, timestep 26, precision_k: 0.1880
block 19, timestep 27, precision_k: 0.1740
block 19, timestep 28, precision_k: 0.1480
block 19, timestep 29, precision_k: 0.1140
block 19, timestep 3, precision_k: 0.8260
block 19, timestep 30, precision_k: 0.0660
block 19, timestep 4, precision_k: 0.7600
block 19, timestep 5, precision_k: 0.5720
block 19, timestep 6, precision_k: 0.4520
block 19, timestep 7, precision_k: 0.3980
block 19, timestep 8, precision_k: 0.3740
block 19, timestep 9, precision_k: 0.3520
block 1, timestep 1, precision_k: 0.1660
block 1, timestep 10, precision_k: 0.1200
block 1, timestep 11, precision_k: 0.1040
block 1, timestep 12, precision_k: 0.1060
block 1, timestep 13, precision_k: 0.1120
block 1, timestep 14, precision_k: 0.1160
block 1, timestep 15, precision_k: 0.1260
block 1, timestep 16, precision_k: 0.1300
block 1, timestep 17, precision_k: 0.1360
block 1, timestep 18, precision_k: 0.1360
block 1, timestep 19, precision_k: 0.1440
block 1, timestep 2, precision_k: 0.1660
block 1, timestep 20, precision_k: 0.1460
block 1, timestep 21, precision_k: 0.0460
block 1, timestep 22, precision_k: 0.0420
block 1, timestep 23, precision_k: 0.0460
block 1, timestep 24, precision_k: 0.0460
block 1, timestep 25, precision_k: 0.0460
block 1, timestep 26, precision_k: 0.0480
block 1, timestep 27, precision_k: 0.0500
block 1, timestep 28, precision_k: 0.0440
block 1, timestep 29, precision_k: 0.0400
block 1, timestep 3, precision_k: 0.2180
block 1, timestep 30, precision_k: 0.0360
block 1, timestep 4, precision_k: 0.2400
block 1, timestep 5, precision_k: 0.2420
block 1, timestep 6, precision_k: 0.2220
block 1, timestep 7, precision_k: 0.1840
block 1, timestep 8, precision_k: 0.1640
block 1, timestep 9, precision_k: 0.1380
block 20, timestep 1, precision_k: 0.8440
block 20, timestep 10, precision_k: 0.1400
block 20, timestep 11, precision_k: 0.1180
block 20, timestep 12, precision_k: 0.1100
block 20, timestep 13, precision_k: 0.1100
block 20, timestep 14, precision_k: 0.1020
block 20, timestep 15, precision_k: 0.1060
block 20, timestep 16, precision_k: 0.1120
block 20, timestep 17, precision_k: 0.1160
block 20, timestep 18, precision_k: 0.1240
block 20, timestep 19, precision_k: 0.1240
block 20, timestep 2, precision_k: 0.8420
block 20, timestep 20, precision_k: 0.1400
block 20, timestep 21, precision_k: 0.1560
block 20, timestep 22, precision_k: 0.1680
block 20, timestep 23, precision_k: 0.1740
block 20, timestep 24, precision_k: 0.2040
block 20, timestep 25, precision_k: 0.2320
block 20, timestep 26, precision_k: 0.2400
block 20, timestep 27, precision_k: 0.2360
block 20, timestep 28, precision_k: 0.2400
block 20, timestep 29, precision_k: 0.2180
block 20, timestep 3, precision_k: 0.7600
block 20, timestep 30, precision_k: 0.1340
block 20, timestep 4, precision_k: 0.6180
block 20, timestep 5, precision_k: 0.4760
block 20, timestep 6, precision_k: 0.3540
block 20, timestep 7, precision_k: 0.2720
block 20, timestep 8, precision_k: 0.2200
block 20, timestep 9, precision_k: 0.1880
block 21, timestep 1, precision_k: 0.8580
block 21, timestep 10, precision_k: 0.3220
block 21, timestep 11, precision_k: 0.2680
block 21, timestep 12, precision_k: 0.2280
block 21, timestep 13, precision_k: 0.1940
block 21, timestep 14, precision_k: 0.1740
block 21, timestep 15, precision_k: 0.1620
block 21, timestep 16, precision_k: 0.1560
block 21, timestep 17, precision_k: 0.1420
block 21, timestep 18, precision_k: 0.1300
block 21, timestep 19, precision_k: 0.1100
block 21, timestep 2, precision_k: 0.8320
block 21, timestep 20, precision_k: 0.0820
block 21, timestep 21, precision_k: 0.0680
block 21, timestep 22, precision_k: 0.0420
block 21, timestep 23, precision_k: 0.0320
block 21, timestep 24, precision_k: 0.0180
block 21, timestep 25, precision_k: 0.0100
block 21, timestep 26, precision_k: 0.0040
block 21, timestep 27, precision_k: 0.0060
block 21, timestep 28, precision_k: 0.0080
block 21, timestep 29, precision_k: 0.0140
block 21, timestep 3, precision_k: 0.8360
block 21, timestep 30, precision_k: 0.0180
block 21, timestep 4, precision_k: 0.8300
block 21, timestep 5, precision_k: 0.7860
block 21, timestep 6, precision_k: 0.7600
block 21, timestep 7, precision_k: 0.6600
block 21, timestep 8, precision_k: 0.5280
block 21, timestep 9, precision_k: 0.4160
block 2, timestep 1, precision_k: 0.3360
block 2, timestep 10, precision_k: 0.0300
block 2, timestep 11, precision_k: 0.0180
block 2, timestep 12, precision_k: 0.0120
block 2, timestep 13, precision_k: 0.0060
block 2, timestep 14, precision_k: 0.0040
block 2, timestep 15, precision_k: 0.0040
block 2, timestep 16, precision_k: 0.0040
block 2, timestep 17, precision_k: 0.0040
block 2, timestep 18, precision_k: 0.0040
block 2, timestep 19, precision_k: 0.0040
block 2, timestep 2, precision_k: 0.2200
block 2, timestep 20, precision_k: 0.0080
