使用生成的对角线模板
阈值: 0.9
找到 682 个匹配结果:
Block 7, Step 20, 相似度: 0.9335
Block 20, Step 21, 相似度: 0.9335
Block 16, Step 11, 相似度: 0.9335
Block 11, Step 8, 相似度: 0.9335
Block 17, Step 23, 相似度: 0.9334
Block 8, Step 5, 相似度: 0.9334
Block 20, Step 14, 相似度: 0.9334
Block 20, Step 20, 相似度: 0.9333
Block 17, Step 24, 相似度: 0.9333
Block 14, Step 6, 相似度: 0.9333
Block 5, Step 19, 相似度: 0.9333
Block 10, Step 19, 相似度: 0.9333
Block 5, Step 28, 相似度: 0.9333
Block 5, Step 2, 相似度: 0.9332
Block 17, Step 25, 相似度: 0.9332
Block 7, Step 21, 相似度: 0.9332
Block 20, Step 15, 相似度: 0.9332
Block 20, Step 19, 相似度: 0.9332
Block 16, Step 12, 相似度: 0.9332
Block 17, Step 26, 相似度: 0.9332
Block 16, Step 2, 相似度: 0.9331
Block 20, Step 16, 相似度: 0.9331
Block 20, Step 18, 相似度: 0.9330
Block 17, Step 27, 相似度: 0.9330
Block 20, Step 17, 相似度: 0.9330
Block 17, Step 28, 相似度: 0.9330
Block 17, Step 30, 相似度: 0.9329
Block 7, Step 22, 相似度: 0.9329
Block 10, Step 20, 相似度: 0.9328
Block 16, Step 13, 相似度: 0.9328
Block 17, Step 29, 相似度: 0.9328
Block 3, Step 30, 相似度: 0.9328
Block 5, Step 18, 相似度: 0.9327
Block 12, Step 18, 相似度: 0.9327
Block 7, Step 23, 相似度: 0.9326
Block 10, Step 21, 相似度: 0.9325
Block 2, Step 29, 相似度: 0.9325
Block 16, Step 24, 相似度: 0.9325
Block 16, Step 14, 相似度: 0.9325
Block 16, Step 23, 相似度: 0.9325
Block 16, Step 25, 相似度: 0.9324
Block 16, Step 22, 相似度: 0.9324
Block 16, Step 26, 相似度: 0.9324
Block 13, Step 10, 相似度: 0.9323
Block 7, Step 24, 相似度: 0.9323
Block 16, Step 21, 相似度: 0.9323
Block 16, Step 15, 相似度: 0.9323
Block 10, Step 22, 相似度: 0.9322
Block 16, Step 27, 相似度: 0.9322
Block 16, Step 20, 相似度: 0.9322
Block 16, Step 18, 相似度: 0.9322
Block 16, Step 17, 相似度: 0.9322
Block 16, Step 16, 相似度: 0.9322
Block 0, Step 18, 相似度: 0.9321
Block 16, Step 19, 相似度: 0.9321
Block 14, Step 10, 相似度: 0.9321
Block 5, Step 17, 相似度: 0.9321
Block 7, Step 25, 相似度: 0.9320
Block 10, Step 23, 相似度: 0.9320
Block 16, Step 28, 相似度: 0.9319
Block 11, Step 7, 相似度: 0.9319
Block 12, Step 19, 相似度: 0.9319
Block 5, Step 29, 相似度: 0.9318
Block 10, Step 24, 相似度: 0.9317
Block 7, Step 26, 相似度: 0.9317
Block 5, Step 16, 相似度: 0.9316
Block 14, Step 11, 相似度: 0.9316
Block 12, Step 30, 相似度: 0.9315
Block 13, Step 5, 相似度: 0.9314
Block 10, Step 25, 相似度: 0.9314
Block 14, Step 12, 相似度: 0.9314
Block 13, Step 11, 相似度: 0.9313
Block 7, Step 27, 相似度: 0.9312
Block 12, Step 20, 相似度: 0.9312
Block 5, Step 15, 相似度: 0.9312
Block 14, Step 13, 相似度: 0.9311
Block 13, Step 12, 相似度: 0.9311
Block 5, Step 7, 相似度: 0.9310
Block 5, Step 3, 相似度: 0.9310
Block 16, Step 29, 相似度: 0.9309
Block 5, Step 14, 相似度: 0.9309
Block 8, Step 6, 相似度: 0.9309
Block 5, Step 6, 相似度: 0.9309
Block 13, Step 13, 相似度: 0.9309
Block 5, Step 8, 相似度: 0.9309
Block 14, Step 14, 相似度: 0.9308
Block 7, Step 28, 相似度: 0.9308
Block 5, Step 13, 相似度: 0.9308
Block 5, Step 12, 相似度: 0.9308
Block 14, Step 15, 相似度: 0.9308
Block 5, Step 11, 相似度: 0.9308
Block 10, Step 26, 相似度: 0.9307
Block 5, Step 10, 相似度: 0.9306
Block 14, Step 16, 相似度: 0.9306
Block 5, Step 9, 相似度: 0.9306
Block 12, Step 21, 相似度: 0.9306
Block 13, Step 14, 相似度: 0.9306
Block 0, Step 6, 相似度: 0.9306
Block 12, Step 29, 相似度: 0.9305
Block 5, Step 5, 相似度: 0.9305
Block 14, Step 26, 相似度: 0.9305
Block 14, Step 25, 相似度: 0.9304
Block 13, Step 15, 相似度: 0.9304
Block 14, Step 17, 相似度: 0.9303
Block 12, Step 22, 相似度: 0.9303
Block 5, Step 4, 相似度: 0.9303
Block 14, Step 27, 相似度: 0.9303
Block 14, Step 24, 相似度: 0.9303
Block 7, Step 29, 相似度: 0.9302
Block 13, Step 16, 相似度: 0.9302
Block 13, Step 4, 相似度: 0.9302
Block 14, Step 23, 相似度: 0.9302
Block 14, Step 18, 相似度: 0.9301
Block 8, Step 7, 相似度: 0.9301
Block 10, Step 27, 相似度: 0.9300
Block 14, Step 22, 相似度: 0.9300
Block 14, Step 19, 相似度: 0.9300
Block 14, Step 28, 相似度: 0.9299
Block 13, Step 17, 相似度: 0.9299
Block 14, Step 21, 相似度: 0.9299
Block 12, Step 23, 相似度: 0.9299
Block 14, Step 20, 相似度: 0.9299
